route,seq,name_en,name_tc,name_sc,location_en,location_tc,location_sc,lat,lng,path
3C,17,WONG TAI SIN STATION,黃大仙站,黄大仙站,LUNG CHEUNG RDO/S LUNG CHEUNG MALL,龍翔道龍翔中心外,龙翔道龙翔中心外,22.341855033,114.192263218,"[[""22.341855033"",""114.192263218""],[""22.341789"",""114.192256298""],[""22.3417856"",""114.192383999""],[""22.341730874"",""114.192705225""],[""22.341750008"",""114.193988733""],[""22.341761807"",""114.195202469""]]"
3C,24,TSZ ON COURT,慈安苑,慈安苑,WAI WAH STREETNEAR ON HONG HOUSE,惠華街近安康閣,惠华街近安康阁,22.348660722,114.20121595,"[[""22.348660722"",""114.20121595""],[""22.34873633"",""114.20125008""],[""22.348898941"",""114.200688427""],[""22.348996152"",""114.200335926""],[""22.349055684"",""114.200106042""],[""22.349094438"",""114.199850957""],[""22.349102396"",""114.199809286""],[""22.349112285"",""114.199784332""],[""22.349133699"",""114.199765296""],[""22.349161064"",""114.199762917""],[""22.349188427"",""114.199761727""],[""22.34921936"",""114.199766486""],[""22.349258622"",""114.199777195""],[""22.349717432"",""114.199942715""],[""22.350304394"",""114.200154338""],[""22.350341276"",""114.200159098""],[""22.350376967"",""114.200155528""],[""22.350410281"",""114.200140063""],[""22.350441213"",""114.200117458""],[""22.350467387"",""114.200081765""],[""22.350716042"",""114.199361978""]]"
12A,2,NAM CHEONG ESTATE,南昌,南昌,YEN CHOW STREET WESTOPP NAM CHEONG ESTATE,欽州街西南昌對面,钦州街西南昌对面,22.327350864,114.156846175,"[[""22.327350864"",""114.156846175""],[""22.327293531"",""114.156912852""],[""22.327454337"",""114.157051091""],[""22.327725075"",""114.15729748""],[""22.327995579"",""114.157540243""],[""22.328456611"",""114.157944701""],[""22.328657643"",""114.158123601""],[""22.328840001"",""114.15828345""],[""22.328922831"",""114.158359317""]]"
3D,6,FU SHAN ESTATE,富山,富山,PO KONG VILLAGE RDNEAR FU SHAN ESTATE,蒲崗村道近富山,蒲岗村道近富山,22.342011322,114.208247295,"[[""22.342011322"",""114.208247295""],[""22.341957471"",""114.208262605""],[""22.341794479"",""114.2082864""],[""22.341336443"",""114.208462588""],[""22.341256892"",""114.20848285""],[""22.341198508"",""114.208496592""],[""22.341068835"",""114.208498381""],[""22.340925457"",""114.208469542""],[""22.340854465"",""114.208445582""],[""22.340807498"",""114.20842459""],[""22.340769012"",""114.208402187""],[""22.340727869"",""114.208378239""],[""22.340709506"",""114.20836755""],[""22.34066751"",""114.208330542""],[""22.340574492"",""114.208237548""],[""22.3403685"",""114.208023522""],[""22.340252453"",""114.207907538""],[""22.339990676"",""114.20763271""],[""22.339846517"",""114.207482537""],[""22.339705538"",""114.207342457""],[""22.339681006"",""114.207318082""]]"
12A,10,CARITAS DORMITORY PRINCE EDWARD,明愛太子宿舍,明爱太子宿舍,BOUNDARY STO/S HSE NO. 119,界限街門牌119號,界限街门牌119号,22.32694572,114.177209237,"[[""22.32694572"",""114.177209237""],[""22.32691582"",""114.177210864""],[""22.326952337"",""114.177932164""],[""22.327001989"",""114.17919688""],[""22.327031795"",""114.179718389""],[""22.327044791"",""114.180278426""],[""22.327061855"",""114.180673531""]]"
12A,3,YEE KUK STREET SHAM SHUI PO,深水醫局街,深水医局街,YEN CHOW STREETO/S HSE NO. 19,欽州街門牌19號,钦州街门牌19号,22.328968077,114.158309826,"[[""22.328968077"",""114.158309826""],[""22.328922831"",""114.158359317""],[""22.329137024"",""114.158555506""],[""22.32961066"",""114.159007217""],[""22.329642782"",""114.159041719""],[""22.329661818"",""114.159077411""],[""22.329670012"",""114.159113483""],[""22.329667767"",""114.159149985""],[""22.329658249"",""114.159185677""],[""22.329640402"",""114.159223748""],[""22.329616607"",""114.159255871""],[""22.329398241"",""114.159545375""]]"
3C,19,FU YAU BUILDING,富祐大廈,富佑大厦,PO KONG VILLAGE RDO/S HOUSE NO. 69,蒲崗村道69號富祐大廈,蒲岗村道69号富佑大厦,22.344129985,114.198779141,"[[""22.344129985"",""114.198779141""],[""22.34410601"",""114.198840283""],[""22.344765591"",""114.198994671""],[""22.345025576"",""114.199069611""],[""22.345114466"",""114.199098838""],[""22.345209645"",""114.199147616""],[""22.345289626"",""114.199198042""],[""22.345401002"",""114.199276964""],[""22.345539576"",""114.199407649""],[""22.345620102"",""114.199499777""],[""22.345692676"",""114.199596144""],[""22.345766438"",""114.199712738""],[""22.345809269"",""114.199768655""],[""22.345844094"",""114.199824783""],[""22.345878597"",""114.199892598""],[""22.345905637"",""114.199970909""]]"
2F,11,WANG YIP HOUSE,宏業樓,宏业楼,"FU MEI STO/S WANG YIP HSE, WANG TAU HOMESTATE",富美街橫頭磡宏業樓外,富美街横头磡宏业楼外,22.340528961,114.188796912,"[[""22.340528961"",""114.188796912""],[""22.340538425"",""114.188797483""],[""22.340541995"",""114.188718961""],[""22.340574116"",""114.188548829""],[""22.340587204"",""114.188162167""],[""22.340608619"",""114.187321028""],[""22.340626464"",""114.186561979""]]"
3C,999,TSZ WAN SHAN (NORTH) BUS TERMINUS,慈雲山(北)總站,慈云山(北)总站,TSZ WAN SHAN (NORTH) B/T,慈雲山（北）總站,慈云山（北）总站,22.350932899,114.198195291,"[[""22.350932899"",""114.198195291""]]"
12A,6,LAI CHI KOK ROAD,荔枝角道,荔枝角道,BOUNDARY STO/S HSE NO. 15NEAR TAI NAM STREET,界限街門牌15號近大南街,界限街门牌15号近大南街,22.32642706,114.163723936,"[[""22.32642706"",""114.163723936""],[""22.32634057"",""114.163728625""],[""22.326371954"",""114.164315404""],[""22.32637496"",""114.164653395""],[""22.326398944"",""114.16530143""],[""22.326426495"",""114.165863889""],[""22.32646177"",""114.166671212""]]"
